"","user_id","retweet_count","hashtags","links","mentions","user_favorites","user_statuses","user_location","rt_user_fav_count","rt_user_stat_count","rt_user_loc","rt_user_id"
"27268",236946956,39,0,FALSE,1,15,1011,NA,0,290,NA,247723476
"27269",48510453,0,1,FALSE,0,0,42,NA,NA,NA,NA,NA
"27270",295783332,0,0,FALSE,2,375,46659,NA,NA,NA,NA,NA
"27271",141259445,0,0,FALSE,0,5,2902,NA,NA,NA,NA,NA
"27272",381346764,0,0,FALSE,0,0,1076,NA,NA,NA,NA,NA
"27273",344308644,0,0,FALSE,0,0,20385,NA,NA,NA,NA,NA
"27274",455482020,0,2,FALSE,0,0,2539,NA,NA,NA,NA,NA
"27275",74144130,0,2,FALSE,1,27,112966,NA,NA,NA,NA,NA
"27276",532686410,187,0,FALSE,1,0,60,NA,0,1117,NA,342887079
"27277",299153746,0,0,FALSE,1,0,1129,NA,179,7052,NA,61842118
"27278",169821228,2,0,FALSE,1,7,1158,NA,0,115299,NA,396995779
"27279",407514970,0,1,FALSE,1,0,2688,NA,NA,NA,NA,NA
"27280",172531387,4,0,FALSE,1,74,27707,NA,256,21498,NA,197848744
"27281",19319883,0,0,FALSE,0,190,31075,"University of Kentucky Alum",NA,NA,NA,NA
"27282",192683725,0,1,FALSE,2,10,34370,"Detroit|Ypsilanti #EMU",31,86619,NA,131041690
"27283",373746925,0,1,FALSE,0,22,4211,NA,NA,NA,NA,NA
"27284",34169042,2,2,FALSE,1,6,3255,NA,0,115299,NA,396995779
"27285",15842711,0,0,FALSE,1,2,1216,NA,NA,NA,NA,NA
"27286",90670323,0,2,FALSE,0,426,20604,NA,NA,NA,NA,NA
"27287",27075032,40,0,FALSE,1,3,6730,"Washington D.C.",0,290,NA,247723476
"27288",357799348,0,0,FALSE,1,0,146,NA,NA,NA,NA,NA
"27289",376510469,6,2,FALSE,1,1085,21317,NA,6,28292,NA,50434933
"27290",188037187,1,4,FALSE,3,37,29117,NA,1,30693,NA,178486716
"27291",14366508,41,0,FALSE,1,7,7021,"Ohio",0,290,NA,247723476
"27292",396995779,0,2,FALSE,0,0,115300,NA,NA,NA,NA,NA
"27293",48142656,0,0,FALSE,1,1,11,NA,NA,NA,NA,NA
"27294",43050343,0,0,FALSE,0,39,4050,NA,NA,NA,NA,NA
"27295",369909652,0,0,FALSE,1,0,46,NA,NA,NA,NA,NA
"27296",339387522,0,0,FALSE,2,19,1949,NA,NA,NA,NA,NA
"27297",189387266,1,1,FALSE,1,117,13402,NA,89,23706,NA,61329492
"27298",29381942,0,0,FALSE,0,4,920,"Los Angeles",NA,NA,NA,NA
"27299",409731314,0,3,FALSE,1,0,10563,NA,NA,NA,NA,NA
"27300",409763432,0,3,FALSE,1,1,10473,NA,NA,NA,NA,NA
"27301",285133665,0,0,FALSE,0,0,1290,NA,NA,NA,NA,NA
"27302",532686410,172,0,FALSE,1,0,63,NA,0,1117,NA,342887079
"27303",448470450,0,3,FALSE,1,1,9049,NA,NA,NA,NA,NA
"27304",272129014,0,3,FALSE,1,0,11664,NA,NA,NA,NA,NA
"27305",207867931,0,0,FALSE,1,3,330,NA,NA,NA,NA,NA
"27306",74087892,0,4,FALSE,0,1,2157,"Austin, TX",NA,NA,NA,NA
"27307",33270898,0,0,FALSE,1,0,818,NA,NA,NA,NA,NA
